name,addr
곰취,강원특별자치도 강릉시 고루포기산
곰취,강원특별자치도 고성군 마산
곰취,강원특별자치도 동해시 청옥산
곰취,강원특별자치도 양구군 사명산
곰취,강원특별자치도 인제군 대암산
곰취,강원특별자치도 인제군 방태산
곰취,강원특별자치도 인제군 쇠뿔산
곰취,강원특별자치도 인제군 점봉산
곰취,강원특별자치도 인제군 삼형제봉
곰취,강원특별자치도 정선군 금대봉
곰취,강원특별자치도 정선군 함백산
곰취,강원특별자치도 정선군 가리왕산
곰취,강원특별자치도 철원군 명성산
곰취,강원특별자치도 태백시 태백산
곰취,강원특별자치도 평창군 박지산
곰취,강원특별자치도 평창군 오대산
곰취,강원특별자치도 평창군 청태산
곰취,강원특별자치도 평창군 황병산
곰취,강원특별자치도 화천군 일산
곰취,강원특별자치도 화천군 백적산
곰취,강원특별자치도 횡성군 태기산
곰취,경기도 남양주시 축령산
곰취,경기도 동두천시 소요산
곰취,경상북도 김천시 수도산
곰취,경상북도 김천시 황학산
곰취,경상북도 문경시 황장산
곰취,경상북도 봉화군 청옥산
곰취,"경상북도 영주시 소백산,연화봉"
곰취,"경상북도 영주시 소백산,형제봉"
곰취,경상북도 청도군 운문산
곰취,대구광역시 달성군 비슬산
곰취,전라남도 구례군 지리산
곰취,전라남도 순천시 조계산
곰취,전북특별자치도 무주군 덕유산
곰취,전북특별자치도 장수군 장안산
곰취,"충청북도 제천시 월악산,영봉"
곰취,제주특별자치도 서귀포시 한라산
곰취,제주특별자치도 제주시 관음사
곰취,제주특별자치도 제주시 노로오름
곰취,제주특별자치도 제주시 성판악
곰취,제주특별자치도 제주시 알밤오름
