name,addr
제비쑥,강원특별자치도 인제군 점봉산
참취,강원특별자치도 인제군 황철봉
참취,강원특별자치도 인제군 삼형제봉
곰취,강원특별자치도 인제군 삼형제봉
제비쑥,강원특별자치도 인제군 삼형제봉
꿀풀,강원특별자치도 인제군 삼형제봉
참취,강원특별자치도 정선군 금대봉
곰취,강원특별자치도 정선군 금대봉
제비쑥,강원특별자치도 정선군 금대봉
꿀풀,강원특별자치도 정선군 금대봉
메밀,강원특별자치도 정선군 노목산
참취,강원특별자치도 정선군 노목산
꿀풀,강원특별자치도 정선군 노목산
제비쑥,강원특별자치도 정선군 두위봉
참취,강원특별자치도 정선군 함백산
곰취,강원특별자치도 정선군 함백산
제비쑥,강원특별자치도 정선군 함백산
꿀풀,강원특별자치도 정선군 함백산
참취,강원특별자치도 정선군 가리왕산
곰취,강원특별자치도 정선군 가리왕산
참취,강원특별자치도 철원군 금학산
꿀풀,강원특별자치도 철원군 금학산
참취,강원특별자치도 철원군 명성산
곰취,강원특별자치도 철원군 명성산
꿀풀,강원특별자치도 철원군 명성산
꿀풀,강원특별자치도 춘천시 응봉
참취,강원특별자치도 춘천시 대룡산
메밀,강원특별자치도 춘천시 죽엽산
참취,강원특별자치도 태백시 연화산
꿀풀,강원특별자치도 태백시 연화산
가시오갈피,강원특별자치도 태백시 태백산
참취,강원특별자치도 태백시 태백산
곰취,강원특별자치도 태백시 태백산
꿀풀,강원특별자치도 태백시 태백산
참취,강원특별자치도 평창군 금당산
꿀풀,강원특별자치도 평창군 금당산
참취,강원특별자치도 평창군 박지산
곰취,강원특별자치도 평창군 박지산
참취,강원특별자치도 평창군 오대산
곰취,강원특별자치도 평창군 오대산
꿀풀,강원특별자치도 평창군 오봉산
메밀,강원특별자치도 평창군 청옥산
꿀풀,강원특별자치도 평창군 청옥산
참취,강원특별자치도 평창군 청태산
곰취,강원특별자치도 평창군 청태산
제비쑥,강원특별자치도 평창군 청태산
꿀풀,강원특별자치도 평창군 청태산
제비쑥,강원특별자치도 평창군 태기산
꿀풀,강원특별자치도 평창군 태기산
참취,강원특별자치도 평창군 황병산
곰취,강원특별자치도 평창군 황병산
제비쑥,강원특별자치도 평창군 황병산
꿀풀,강원특별자치도 평창군 황병산
메밀,강원특별자치도 평창군 회령봉
참취,강원특별자치도 평창군 회령봉
꿀풀,강원특별자치도 평창군 회령봉
메밀,강원특별자치도 평창군 가리왕산
꿀풀,강원특별자치도 평창군 가리왕산
참취,강원특별자치도 홍천군 계방산
제비쑥,강원특별자치도 홍천군 계방산
꿀풀,강원특별자치도 홍천군 계방산
꿀풀,강원특별자치도 홍천군 공작산
참취,강원특별자치도 홍천군 매화산
제비쑥,강원특별자치도 홍천군 매화산
꿀풀,강원특별자치도 홍천군 매화산
꿀풀,강원특별자치도 홍천군 응봉산
참취,강원특별자치도 화천군 일산
곰취,강원특별자치도 화천군 일산
꿀풀,강원특별자치도 화천군 일산
가시오갈피,강원특별자치도 화천군 백적산
참취,강원특별자치도 화천군 백적산
곰취,강원특별자치도 화천군 백적산
꿀풀,강원특별자치도 화천군 백적산
메밀,강원특별자치도 화천군 병풍산
참취,강원특별자치도 화천군 병풍산
제비쑥,강원특별자치도 화천군 병풍산
꿀풀,강원특별자치도 화천군 병풍산
참취,강원특별자치도 화천군 복주산
꿀풀,강원특별자치도 화천군 복주산
꿀풀,강원특별자치도 화천군 석룡산
참취,강원특별자치도 화천군 용화산
제비쑥,강원특별자치도 화천군 용화산
꿀풀,강원특별자치도 화천군 용화산
참취,강원특별자치도 화천군 죽엽산
꿀풀,강원특별자치도 화천군 죽엽산
참취,강원특별자치도 횡성군 성지봉
제비쑥,강원특별자치도 횡성군 성지봉
참취,강원특별자치도 횡성군 오봉산
꿀풀,강원특별자치도 횡성군 오봉산
메밀,강원특별자치도 횡성군 응봉산
참취,강원특별자치도 횡성군 응봉산
메밀,강원특별자치도 횡성군 치악산
메밀,강원특별자치도 횡성군 태기산
참취,강원특별자치도 횡성군 태기산
담배풀,강원특별자치도 횡성군 태기산
곰취,강원특별자치도 횡성군 태기산
제비쑥,강원특별자치도 횡성군 태기산
꿀풀,"강원특별자치도 횡성군 응봉산,뱀골"
꿀풀,"강원특별자치도 횡성군 오봉산,칡사리"
담배풀,"강원특별자치도 횡성군 치악산,향로봉"
제비쑥,"강원특별자치도 횡성군 치악산,향로봉"
꿀풀,"강원특별자치도 횡성군 치악산,부곡저수지"
참취,경기도 가평군 매봉
꿀풀,경기도 가평군 대금산
꿀풀,경기도 가평군 북배산
꿀풀,경기도 가평군 운악산
참취,경기도 가평군 화악산
꿀풀,경기도 가평군 화악산
참취,경기도 가평군 화야산
꿀풀,경기도 가평군 화야산
