name,addr
메밀,경상남도 통영시 사량도
넉줄고사리,경상남도 통영시 사량도
참취,경상남도 통영시 한산도
꿀풀,경상남도 통영시 한산도
넉줄고사리,경상남도 함안군 방어산
넉줄고사리,경상남도 함안군 작대산
꿀풀,경상남도 합천군 대암산
참취,경상남도 합천군 무월봉
제비쑥,경상남도 합천군 무월봉
넉줄고사리,경상남도 합천군 오도산
참취,경상남도 합천군 오도산
제비쑥,경상남도 합천군 오도산
꿀풀,경상남도 합천군 오도산
넉줄고사리,경상남도 합천군 황매산
참취,경상남도 합천군 황매산
제비쑥,경상남도 합천군 황매산
담배풀,경상북도 울릉군 각시봉
담배풀,경상북도 울릉군 남서리
담배풀,경상북도 울릉군 봉래폭포
담배풀,경상북도 울릉군 산막
담배풀,경상북도 울릉군 수층동
참취,전라남도 고흥군 거금도
제비쑥,전라남도 고흥군 거금도
꿀풀,전라남도 고흥군 거금도
넉줄고사리,전라남도 고흥군 나로도
꿀풀,전라남도 고흥군 나로도
넉줄고사리,전라남도 곡성군 동악산
참취,전라남도 곡성군 동악산
제비쑥,전라남도 곡성군 동악산
제비쑥,전라남도 목포시 달리도
꿀풀,전라남도 목포시 달리도
참취,전라남도 신안군 가거도
담배풀,전라남도 신안군 가거도
제비쑥,전라남도 신안군 가거도
아욱,전라남도 신안군 가거도
메밀,전라남도 신안군 대흑산도
넉줄고사리,전라남도 신안군 대흑산도
참취,전라남도 신안군 대흑산도
담배풀,전라남도 신안군 대흑산도
제비쑥,전라남도 신안군 대흑산도
꿀풀,전라남도 신안군 대흑산도
참취,전라남도 신안군 도초도
참취,전라남도 신안군 매화도
제비쑥,전라남도 신안군 매화도
꿀풀,전라남도 신안군 매화도
꿀풀,전라남도 신안군 비금도
제비쑥,전라남도 신안군 안좌도
꿀풀,전라남도 신안군 안좌도
제비쑥,전라남도 신안군 암태도
제비쑥,전라남도 신안군 압해도
꿀풀,전라남도 신안군 압해도
참취,전라남도 신안군 우이도
제비쑥,전라남도 신안군 우이도
제비쑥,전라남도 신안군 자은도
꿀풀,전라남도 신안군 자은도
참취,전라남도 신안군 재원도
꿀풀,전라남도 신안군 재원도
꿀풀,전라남도 신안군 증도
꿀풀,전라남도 신안군 지도
제비쑥,전라남도 신안군 하의도
꿀풀,전라남도 신안군 하의도
제비쑥,전라남도 여수시 거문도
참취,전라남도 여수시 돌산도
참취,전라남도 영광군 낙월도
제비쑥,전라남도 영광군 낙월도
참취,전라남도 영광군 송이도
제비쑥,전라남도 영광군 송이도
참취,전라남도 영광군 안마도
제비쑥,전라남도 영광군 안마도
넉줄고사리,전라남도 완도군 금당도
꿀풀,전라남도 완도군 금당도
넉줄고사리,전라남도 완도군 상황봉
참취,전라남도 완도군 상황봉
넉줄고사리,"전라남도 완도군 소안도,가학산"
제비쑥,"전라남도 완도군 신지도,상산"
꿀풀,전라남도 완도군 조약도
참취,"전라남도 완도군 청산도,대봉산"
참취,"전라남도 완도군 청산도,보적산"
제비쑥,"전라남도 완도군 청산도,보적산"
제비쑥,전라남도 진도군 가사도
담배풀,전라남도 진도군 금갑리
넉줄고사리,전라남도 진도군 남도석성
참취,전라남도 진도군 동거차도
넉줄고사리,전라남도 진도군 동석산
꿀풀,전라남도 진도군 둔전저수지
참취,전라남도 진도군 여귀산
넉줄고사리,전라남도 진도군 첨찰산
꿀풀,전북특별자치도 군산시 개야도
참취,전북특별자치도 군산시 방축도
참취,전북특별자치도 군산시 선유도
담배풀,전북특별자치도 군산시 선유도
꿀풀,전북특별자치도 남원시 천황산
넉줄고사리,전북특별자치도 부안군 상여봉
참취,제주특별자치도 서귀포시 남조로일대
꿀풀,제주특별자치도 서귀포시 남조로일대
참취,제주특별자치도 서귀포시 달산봉
꿀풀,제주특별자치도 서귀포시 볼레오름
꿀풀,제주특별자치도 서귀포시 산방산
꿀풀,제주특별자치도 서귀포시 성산
넉줄고사리,제주특별자치도 서귀포시 송악산
참취,제주특별자치도 서귀포시 영주산
꿀풀,제주특별자치도 서귀포시 영주산
참취,제주특별자치도 서귀포시 자배봉
꿀풀,제주특별자치도 서귀포시 자배봉
참취,제주특별자치도 서귀포시 칡오름
제비쑥,제주특별자치도 서귀포시 칡오름
꿀풀,제주특별자치도 서귀포시 칡오름
곰취,제주특별자치도 서귀포시 한라산
꿀풀,제주특별자치도 서귀포시 한라산
곰취,제주특별자치도 제주시 관음사
곰취,제주특별자치도 제주시 노로오름
꿀풀,제주특별자치도 제주시 당산봉
참취,제주특별자치도 제주시 돛오름
제비쑥,제주특별자치도 제주시 돛오름
꿀풀,제주특별자치도 제주시 돛오름
꿀풀,제주특별자치도 제주시 물찻오름
꿀풀,제주특별자치도 제주시 민오름
꿀풀,제주특별자치도 제주시 바늘오름
담배풀,제주특별자치도 제주시 발이오름
참취,제주특별자치도 제주시 샘이오름
제비쑥,제주특별자치도 제주시 샘이오름
곰취,제주특별자치도 제주시 성판악
참취,제주특별자치도 제주시 알밤오름
담배풀,제주특별자치도 제주시 알밤오름
곰취,제주특별자치도 제주시 알밤오름
제비쑥,제주특별자치도 제주시 알밤오름
꿀풀,제주특별자치도 제주시 알밤오름
참취,제주특별자치도 제주시 은월봉
꿀풀,제주특별자치도 제주시 은월봉
담배풀,제주특별자치도 제주시 저지오름
꿀풀,충청남도 보령시 호도
꿀풀,충청남도 서산시 웅도
참취,충청남도 태안군 가의도
꿀풀,충청남도 태안군 가의도
참취,충청남도 태안군 안면도
꿀풀,충청남도 태안군 안면도
참취,충청북도 괴산군 고양봉
참취,충청북도 영동군 황악산
꿀풀,충청북도 영동군 황악산
참취,충청북도 옥천군 환산
참취,충청북도 음성군 수레의산
넉줄고사리,부산광역시 강서구 가덕도
넉줄고사리,인천광역시 중구 무의도
참취,인천광역시 중구 무의도
제비쑥,인천광역시 중구 무의도
꿀풀,인천광역시 중구 무의도
